Motif,TF
ACAAT_B,-
AFP1_Q6,Zfhx3
AHR_01,Ahr
AHR_Q5,Ahr
AHRARNT_01,Ahr;Arnt;Arntl
AHRARNT_02,Ahr;Arnt;Arntl
AHRHIF_Q6,Aldr2;Ahr;Ahrr;Arnt;Arnt2;Arntl;Hif1a
AIRE_01,Aire
AIRE_02,Aire
ALPHACP1_01,Pcbp1
ALX4_01,Alx4
AMEF2_Q6,Mef2a
AML_Q6,Runx2;Runx1;Runx3;Cbfb
AML1_01,Runx1
AML1_Q6,Runx1
AP1_01,Fos;Fosb;Fosl1;Jun;Junb;Jund
AP1_C,Jun
AP1_Q2,Jun
AP1_Q2_01,Fos;Fosb;Fosl1;Fosl2;Jun;Junb;Jund
AP1_Q4,Jun
AP1_Q4_01,Fos;Fosb;Fosl1;Fosl2;Jun;Junb;Jund
AP1_Q6,Jun
AP1_Q6_01,Fos;Fosb;Fosl1;Fosl2;Jun;Junb;Jund
AP1FJ_Q2,Fos;Jun
AP2_Q3,Tcfap2a;Tcfap2b;Tcfap2c
AP2_Q6,Tcfap2a;Tcfap2b;Tcfap2c
AP2_Q6_01,Tcfap2a;Tcfap2b;Tcfap2c
AP2ALPHA_01,Tcfap2a
AP2ALPHA_02,-
AP2ALPHA_03,-
AP2GAMMA_01,Tcfap2c
AP2REP_01,Klf12;Foxc1
AP3_Q6,Ap3b1
AP4_01,Gm189;Tcfap4
AP4_Q5,Gm189;Tcfap4
AP4_Q6,Gm189;Tcfap4
AP4_Q6_01,Gm189;Tcfap4
APOLYA_B,-
AR_01,Ar
AR_02,Ar
AR_03,Ar
AR_Q2,Ar
AR_Q6,Ar
AREB6_01,Zeb1
AREB6_02,Zeb1
AREB6_03,Zeb1
AREB6_04,Zeb1
ARNT_01,Arnt;Arntl
ARNT_02,Arnt;Arntl
ARP1_01,Apobec2;Nr2f2
ATATA_B,-
ATF_01,-
ATF_B,-
ATF1_Q6,Atf1
ATF3_Q6,Atf3
ATF4_Q2,Atf4
ATF6_01,Atf6
BACH1_01,Bach1
BACH2_01,Bach2
BARBIE_01,-
BCL6_01,Bcl6
BCL6_02,Bcl6
BCL6_Q3,Bcl6
BEL1_B,-
BLIMP1_Q6,Prdm1;Foxc1
BRACH_01,T
BRCA_01,Brca1
BRN2_01,Pou3f2
CAAT_01,-
CAAT_C,-
CACBINDINGPROTEIN_Q6,-
CACCCBINDINGFACTOR_Q6,Foxc1;Zfp148
CACD_01,-
CAP_01,Sorbs1
CART1_01,Alx1;Traf4
CBF_01,Mynf1
CBF_02,Mynf1
CDC5_01,Cdc5l
CDP_01,Cux1
CDP_02,Cux1
CDPCR1_01,Cux1
CDPCR3_01,Cux1
CDPCR3HD_01,Cux1
CDX_Q5,Cdx1;Cdx2;Cdx4
CDX2_Q5,Cdx2;Cdx4
CDXA_01,Cdx1
CDXA_02,Cdx1
CEBP_01,Cebpa
CEBP_C,Cebpa
CEBP_Q2,Cebpa
